query_id,query,query_group,reference_answer,category,ahd_row_index,sampling_seed,annotation_status
unseen100_001,السلام عليكم عند مشكلة في كبر الحوض اْي المؤخرة غير متناسقة مع جسمي مشكلتي بدءت في سن 14 سنة لقد راحت مؤخرة تكبرفي مدة قصيرة اْي بضعة اْشهر ومن الوقت...,unseen_random_stratified_100,قياسات الجسم تتحدد غالباً بالوراثة، وهذه العلامة من النمو هي علامة على خلل في الغدد الصماء، وعليك مراجعة طبيب الغدد الصماء وعمل فحص للهرمونات، لتحديد إمكانية العلاج.,تشوهات خلقية,774322,20260727,source_answer_reference_not_human_adjudicated
unseen100_002,السلام عليكم سؤالي هل اجري عملية ترقيع عضو الذكري لطفلي او لا حيث انه بعد ان اجريت عمليه الطهارة لطفلي راه اطباء قال احدهم لابد من عمليه ترقيع للعضو عندما...,unseen_random_stratified_100,"باعتقادي انه لا بد من اجراء العمليه ومن دون تاخير.....
اذ انه كان من الخطأ ان تجرى له عمليه ختان....",جراحة المسالك البولية,766394,20260727,source_answer_reference_not_human_adjudicated
unseen100_003,عمري 48 عاما قمت بتركيب 4 دعامات في الشريان التاجي منذ شهرين والان بشعر ببعض الدوخة وعدم التركيز علي فترات وغالبا ماتكون اثناء المشي علما باني قمت بقياس الضغط وكان...,unseen_random_stratified_100,"أسباب الدوخة هذه كثيرة وأكثرها شيوعاً امراض الأذن, ومشاكل الفقرات العنقية, وأحياناً الأدوية لذلك ننصحك بمعاودة طبيك المعالج للكشف عن أي علامة سريرية قد تكون موجودة لديك وتساعد في تحديد السببب",جراحة القلب والشرايين,756396,20260727,source_answer_reference_not_human_adjudicated
unseen100_004,لدي انتفاخ يشبه العرق يمين منطقة العانة لم يكن موجود قبل اسبوع مع العلم امارس رياضة كمال الاجسام من شهر ذهبت لجراح شخص الحالة على انها بداية فتق و آخر...,unseen_random_stratified_100,يوجد نوعين من الفتق الاربي المباشر اللي فيه انتفاخ مباشر يزداد بالسعال والاخر غير المباشر يحتاج لفحص بالاصبع,جراحة عامة,106396,20260727,source_answer_reference_not_human_adjudicated
unseen100_005,هل الوزن الزائد سبب في قصر القضيب,unseen_random_stratified_100,السمنة تقصر القضيب، فكل زيادة وزم ١٠ كغم تقصر واحد سم من طول القضيب!,الصحة الجنسية,328297,20260727,source_answer_reference_not_human_adjudicated
unseen100_006,ما هي الأضرار الناتجة عن التعرض لعنصر النيكل؟,unseen_random_stratified_100,"صنف النيكل من المواد المسببة لسرطان عند الإنسان، التعرض المزمن للنيكل هو أحد عوامل الخطر للاصابة بسرطان الرئة
النيكل هو أكثر المعادن المسببة للحساسية",علم السموم,773585,20260727,source_answer_reference_not_human_adjudicated
unseen100_007,يوجد كتلة في الكلية ١٠ سم وقال الطبيب أنها موجودة منذ ٣ سنوات وتم اكتشافها في أثناء تشخيص حالة المرارة,unseen_random_stratified_100,اعمل صورة مرنان مغناطيسي للكلية مع حقن مادة ظليلة وارسل النتيجة,أمراض المسالك البولية والتناسلية,262728,20260727,source_answer_reference_not_human_adjudicated
unseen100_008,زوجتي حامل في نهاية شهرها السابع وتبين من صور الأشعة السينية أن الجنين يعاني من متلازمة Chiari من الدرجة الثانية، : هل من الممكن الحصول على قائمة بأسماء مراكز طبية...,unseen_random_stratified_100,"نعم هنالك عدد من اختصاصي جراحة الاكفاء في عمان الرجاء الاتصال بنا لدى حضوركم وسوف نقوم بالاتمام شخصيا لانتقاء افضل اطباء جراحي الاطفال لاجراء العمليه.
د.سليمان ضبيط
مدير وحدة الاخصاب والوراثة
+962-6-4647217
+962-6-4644281
+692-79-5544688",علم الأجنة,787406,20260727,source_answer_reference_not_human_adjudicated
unseen100_009,عندي فرط في تعرق اليدين والقدمين ويحدث تعرق لمناطق اخري كثير ولكن اريد حل لليدين والقدمين,unseen_random_stratified_100,اعمل تحاليل الغدة الدرقية اذا كانت طبيعية راجع طبيب أمراض الجلدية,أمراض الغدد الصماء,32138,20260727,source_answer_reference_not_human_adjudicated
unseen100_010,اعاني من حكه بالبطن واحمرار وكذلك الوجه واليدين وانتفاخ البطن ولاتوجد حبوب مع العلم اني اتناول ادويه للضغط والسكر ومسيل الدم واسبرين,unseen_random_stratified_100,"حساسيه الارتكاريا لابد من معرفة اخر شي تم التعرض له من غذاء ودواء او مسببات في الجو
لابد من مراجعة طبيب حساسيه",أرجية حساسية,374125,20260727,source_answer_reference_not_human_adjudicated
