query_id,candidate_type,candidate_id,candidate_pool,relevance_label,candidate_rank,p_usable,p_direct_given_usable,p_direct,expected_relevance
evalv1_001,evidence,qa::ahd10k_00787,original_pool,1,1,0.95631393,0.00104344,0.00099785,0.95731178
evalv1_001,relation,rel_seed_12099cb4f8d5e172,original_pool,0,1,0.01630714,0.00339977,5.544e-05,0.01636258
evalv1_001,evidence,qa::ahd10k_00396,original_pool,0,2,0.55700634,0.10031907,0.05587836,0.6128847
evalv1_001,relation,rel_seed_5a9e50cfa7ee1c67,original_pool,0,2,0.01184171,0.00270681,3.205e-05,0.01187376
evalv1_001,evidence,qa::ahd10k_00720,original_pool,0,3,0.65896291,0.03099899,0.02042719,0.67939009
evalv1_001,relation,rel_seed_3a09110f7e7bacf3,original_pool,1,3,0.01064058,0.00250869,2.669e-05,0.01066727
evalv1_001,evidence,qa::ahdqa_0624550,original_pool,0,4,0.6274577,0.35451601,0.2224438,0.8499015
evalv1_001,evidence,mention::men_merge_0003382,original_pool,0,5,0.47003121,0.07492694,0.035218,0.50524921
evalv1_001,evidence,qa::ahdqa_0113531,partial_fts_expansion,1,1,0.87007852,0.07619198,0.066293,0.93637152
evalv1_001,evidence,qa::ahdqa_0754643,partial_fts_expansion,1,2,0.88541368,0.03815821,0.0337858,0.91919949
evalv1_001,evidence,qa::ahdqa_0724746,partial_fts_expansion,2,3,0.64103031,0.21952641,0.14072308,0.78175339
evalv1_002,evidence,qa::ahdqa_0211512,original_pool,0,1,0.64990052,0.57599418,0.37433892,1.02423943
evalv1_002,evidence,qa::ahdqa_0042778,original_pool,0,2,0.4397126,0.45866977,0.20168288,0.64139549
evalv1_002,evidence,qa::ahdqa_0073498,original_pool,1,3,0.59032054,0.65991347,0.38956047,0.97988101
evalv1_002,evidence,qa::ahdqa_0017782,original_pool,0,4,0.44458748,0.40178458,0.17862839,0.62321587
evalv1_002,evidence,qa::ahdqa_0723351,original_pool,1,5,0.32810956,0.3504625,0.1149901,0.44309965
evalv1_002,evidence,qa::ahdqa_0221395,partial_fts_expansion,1,1,0.87251023,0.08409335,0.07337231,0.94588253
evalv1_002,evidence,qa::ahdqa_0141898,partial_fts_expansion,1,2,0.40381762,0.13671863,0.05520939,0.45902701
evalv1_002,evidence,qa::ahdqa_0036765,partial_fts_expansion,0,3,0.3485682,0.14897302,0.05192726,0.40049545
evalv1_002,evidence,qa::ahdqa_0287930,partial_fts_expansion,1,4,0.58040147,0.42239154,0.24515668,0.82555815
